Year,Cost Rate Original,Income Rate,Annual Balance
2005,11.13,12.72,1.59
2006,11.0,12.73,1.73
2007,10.85,12.74,1.89
2008,10.73,12.78,2.05
2009,10.77,12.76,1.98
2010,10.81,12.78,1.96
2011,10.9,12.82,1.92
2012,11.07,12.85,1.78
2013,11.25,12.87,1.62
2014,11.46,12.89,1.43
2015,11.66,12.9,1.24
2016,11.89,12.92,1.03
2017,12.13,12.93,0.81
2018,12.37,12.95,0.58
2019,12.61,12.96,0.35
2020,12.86,12.98,0.12
2021,13.11,13.0,-0.12
2022,13.36,13.01,-0.35
2023,13.6,13.02,-0.57
2024,13.83,13.04,-0.8
2025,14.07,13.05,-1.01
2026,14.3,13.07,-1.23
2027,14.5,13.08,-1.42
2028,14.68,13.09,-1.59
2029,14.84,13.1,-1.74
2030,14.99,13.11,-1.88
2031,15.12,13.12,-2.0
2032,15.24,13.13,-2.1
2033,15.32,13.14,-2.18
2034,15.38,13.14,-2.23
2035,15.42,13.15,-2.27
2036,15.45,13.15,-2.3
2037,15.47,13.16,-2.32
2038,15.46,13.16,-2.32
2039,15.45,13.16,-2.31
2040,15.44,13.16,-2.3
2041,15.44,13.16,-2.29
2042,15.43,13.16,-2.28
2043,15.44,13.16,-2.28
2044,15.45,13.17,-2.27
2045,15.46,13.17,-2.27
2046,15.47,13.17,-2.28
2047,15.48,13.17,-2.29
2048,15.51,13.17,-2.3
2049,15.53,13.17,-2.32
2050,15.57,13.18,-2.34
2051,15.6,13.18,-2.36
2052,15.64,13.18,-2.39
2053,15.68,13.19,-2.43
2054,15.72,13.19,-2.46
2055,15.77,13.2,-2.5
2056,15.81,13.2,-2.54
2057,15.86,13.2,-2.58
2058,15.9,13.21,-2.62
2059,15.94,13.21,-2.66
2060,15.99,13.21,-2.7
2061,16.04,13.21,-2.74
2062,16.09,13.22,-2.78
2063,16.13,13.22,-2.83
2064,16.18,13.22,-2.87
2065,16.23,13.23,-2.92
2066,16.27,13.23,-2.96
2067,16.31,13.23,-3.01
2068,16.35,13.23,-3.05
2069,16.38,13.24,-3.08
2070,16.42,13.24,-3.12
2071,16.45,13.24,-3.15
2072,16.48,13.24,-3.18
2073,16.51,13.24,-3.21
2074,16.55,13.25,-3.24
2075,16.58,13.25,-3.28
2076,16.62,13.25,-3.31
2077,16.66,13.25,-3.34
2078,16.69,13.25,-3.37
2079,16.73,13.26,-3.41
2080,16.77,13.27,-3.44
